Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
4/8/2016,10:55:55,705,7763,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:55,908,7764,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:56,111,7765,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:56,313,7766,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:56,516,7767,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:56,719,7768,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:56,906,7769,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:57,109,7770,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:57,312,7771,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:57,515,7772,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:57,717,7773,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:57,905,7774,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:58,107,7775,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:58,310,7776,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:58,513,7777,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:58,716,7778,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:58,919,7779,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:59,106,7780,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:59,309,7781,81,78,82,84,84,85,82,82,84,83,84,82
